"permutations";"#UUIDs";"#classes";"#clone_configs"
"16_9_8_14_1_5_10_7_12_2_15_13_3_6_11_4";"23494";"1";"96"
"1_7_15_9_11_16_4_10_2_14_6_8_13_3_5_12";"23447";"1";"96"
"8_7_13_16_1_14_15_10_4_11_12_6_3_2_9_5";"23447";"1";"96"
"10_1_2_12_8_9_16_15_6_14_13_3_11_7_5_4";"23471";"1";"96"
"2_5_8_11_15_12_6_7_9_4_13_3_14_16_10_1";"23626";"1";"96"
"14_11_6_8_10_2_9_13_5_12_4_1_16_7_3_15";"23603";"1";"96"
"5_2_15_4_11_8_13_10_14_1_16_7_3_9_12_6";"23626";"1";"96"
"6_14_12_3_4_1_13_5_16_7_8_15_9_10_11_2";"23517";"1";"96"
"5_1_4_13_6_7_8_11_2_3_10_15_14_12_16_9";"23471";"1";"96"
"1_5_9_15_2_4_6_14_11_3_13_8_16_7_10_12";"23517";"1";"96"
"10_15_4_12_11_16_13_2_1_8_9_5_14_7_6_3";"23470";"1";"96"
"4_14_11_2_8_12_1_6_16_13_3_10_15_7_9_5";"23650";"1";"96"
"11_15_4_12_3_1_9_14_10_6_7_13_5_8_16_2";"23579";"1";"96"
"4_11_8_10_5_13_3_6_9_12_16_7_1_14_15_2";"23494";"1";"96"
"4_3_13_8_15_16_5_12_6_9_14_10_7_2_1_11";"23470";"1";"96"
"6_16_3_11_5_14_2_10_7_9_15_8_4_13_12_1";"23447";"1";"96"
"14_2_5_1_9_8_12_4_13_6_10_16_3_15_11_7";"23627";"1";"96"
"10_16_6_9_15_14_5_7_11_12_8_4_2_13_1_3";"23447";"1";"96"
"13_4_5_11_16_6_14_12_10_1_3_2_9_15_7_8";"23556";"1";"96"
"11_10_2_3_1_9_16_6_12_4_14_15_13_5_7_8";"23447";"1";"96"
"9_15_13_4_8_7_5_2_11_12_6_10_16_1_14_3";"23470";"1";"96"
"11_4_8_2_14_13_3_15_7_10_1_9_12_16_6_5";"23494";"1";"96"
"11_16_15_3_12_10_14_13_7_5_1_8_2_9_6_4";"23447";"1";"96"
"8_15_5_6_14_12_2_4_16_3_1_11_10_7_9_13";"23517";"1";"96"
"13_11_12_2_15_6_3_10_7_9_4_1_14_8_16_5";"23556";"1";"96"
"10_12_9_3_6_4_11_7_15_5_16_8_2_1_14_13";"23494";"1";"96"
"2_13_5_12_6_11_1_16_14_3_8_4_7_10_9_15";"23556";"1";"96"
"11_2_14_10_15_8_3_13_12_5_1_6_7_4_16_9";"23580";"1";"96"
"13_6_14_15_2_8_1_4_5_9_7_12_16_11_3_10";"23579";"1";"96"
