"permutations";"#UUIDs";"#classes";"#clone_configs"
"1";"19912";"1";"6"
"1_6_7";"21496";"1";"18"
"1_8_11_7_4_12_6_9_15";"23464";"1";"54"
"1_7_11_12_10_9_6_16_5_13_14";"23466";"1";"66"
"5_3_11_4_10_8_14_1_16_9";"23488";"1";"60"
"11_15_4_2_14_9_16_1_10_12_6_7_8";"23576";"1";"78"
"14_4_1_6_15";"22873";"1";"30"
"6_13_15_16_1_2_3_10_11_12_5_4_9_7";"23468";"1";"84"
"2_6_15_1";"22716";"1";"24"
"1_9_2_11_4_15_5_3_13_12_10_6";"23443";"1";"72"
"7_1_9_13_10";"22952";"1";"30"
"7_2_8_9_11_13_12_6_5_15_3_16_4_1_14";"23579";"1";"90"
"12_15_4_7_16_9_8_13_6_11_10_3_2_1";"23577";"1";"84"
"2_10_13_1_5";"23251";"1";"30"
"1_5_8";"22101";"1";"18"
"7_11_3_4_5_10_1";"23260";"1";"42"
"5_10_6_4_9_1";"23460";"1";"36"
"4_7_3_9_12_5_16_2_10_13_15_11_8_1_14";"23625";"1";"90"
"3_9_10_1_11_6_16_15";"23508";"1";"48"
"15_11_3_10_13_1_12";"23461";"1";"42"
"3_12_10_7_6_14_5_11_4_1_9_13";"23443";"1";"72"
"4_11_2_13_3_15_10_1";"23438";"1";"48"
"1_14_4_16";"22740";"1";"24"
"13_2_1_4_9_14_5";"23438";"1";"42"
"1_11_14";"22824";"1";"18"
"10_2_8_14_15_9_12_6_11_13_1";"23466";"1";"66"
"4_1_15_3";"22716";"1";"24"
"4_11_6_14_9_13_7_16_3_1_5_15_10";"23576";"1";"78"
"6_14_16_4_1_5_13_10";"23618";"1";"48"
"9_16_3_1_8_7_2_13_5";"23487";"1";"54"
"15_8_4_13_1";"23505";"1";"30"
"14_16_1_10";"22731";"1";"24"
"13_10_11_6_1_9_14";"23438";"1";"42"
"14_13_3_4_6_1_16_11";"23462";"1";"48"
"1_16";"20501";"1";"12"
"1_6_9_15";"22716";"1";"24"
"9_10_3_2_11_6_13_15_12_1_5";"23465";"1";"66"
"11_13_16_4_1_15_14_2";"23439";"1";"48"
"8_6_5_4_1_2_12_9_16_7_11";"23512";"1";"66"
"2_11_15_16_1_8_5_14_3_10_7_12_9_13";"23445";"1";"84"
"5_1";"21076";"1";"12"
"13_3_6_16_1_15_12_5_8_2_10_7_9_4_11";"23446";"1";"90"
"8_3_9_14_10_6_1";"23532";"1";"42"
"1_7";"20100";"1";"12"
"10_16_12_3_5_7_11_1_8_2_6";"23442";"1";"66"
"7_8_13_10_16_3_4_14_6_12_1";"23442";"1";"66"
"9_1";"21752";"1";"12"
"1";"19912";"1";"6"
"7_6_10_8_14_15_13_11_2_16_12_4_1_3_9";"23446";"1";"90"
"3_9_16_1_11_4";"23506";"1";"36"
"1_4_14_13_16_8_7_11";"23509";"1";"48"
"5_9_10_14_1_7_2_16_8_3_15";"23645";"1";"66"
"6_4_3_10_1";"23250";"1";"30"
"3_7_11_1";"23148";"1";"24"
"1";"19912";"1";"6"
"5_6_8_3_7_13_14_1";"23313";"1";"48"
"1_4";"21494";"1";"12"
"1";"19912";"1";"6"
"12_16_2_5_15_3_6_1_7_13";"23550";"1";"60"
