"permutations";"#UUIDs";"#classes";"#clone_configs"
"14_4_13_5_8_12_11_7_6_16_1_3_2_9_10_15";"12327";"2";"32"
"1_9_13_14_6_2_5_16_10_15_4_8_11_3_7_12";"12044";"2";"32"
"9_1_6_14_2_11_15_10_3_5_8_12_7_16_13_4";"12246";"2";"32"
"14_7_10_4_1_11_16_13_3_15_8_9_5_2_12_6";"12589";"2";"32"
"5_6_4_14_15_3_2_11_13_16_8_1_9_10_7_12";"12150";"2";"32"
"5_10_6_13_2_16_11_14_4_15_9_7_12_8_1_3";"12521";"2";"32"
"6_13_2_14_15_4_16_5_11_3_1_9_8_10_7_12";"12691";"2";"32"
"5_3_1_9_6_14_16_10_4_2_7_15_12_13_8_11";"12103";"2";"32"
"1_9_10_3_11_13_16_12_4_14_15_5_7_8_6_2";"12052";"2";"32"
"9_15_6_13_3_14_16_8_2_11_4_1_12_7_5_10";"12468";"2";"32"
"16_11_13_8_12_15_5_10_1_3_7_6_2_4_9_14";"12454";"2";"32"
"13_15_9_5_1_11_16_4_8_6_3_2_7_10_12_14";"12255";"2";"32"
"10_4_15_1_6_2_12_14_8_5_16_3_9_7_11_13";"12453";"2";"32"
"1_5_4_7_13_2_6_9_11_16_14_15_3_8_10_12";"12372";"2";"32"
"15_5_9_1_11_3_6_10_8_13_4_7_14_2_12_16";"12252";"2";"32"
"1_5_2_16_9_7_14_4_12_10_3_13_11_8_15_6";"12229";"2";"32"
"15_10_2_16_5_7_12_11_13_1_14_6_3_9_8_4";"12726";"2";"32"
"15_7_8_9_3_11_13_10_14_6_5_12_4_1_16_2";"12275";"2";"32"
"8_13_10_7_1_16_11_2_4_3_12_15_5_9_14_6";"12122";"2";"32"
"12_7_6_15_4_2_3_10_14_9_13_11_1_8_16_5";"12356";"2";"32"
"1_7_11_6_14_13_16_5_15_10_4_12_3_9_8_2";"12344";"2";"32"
"13_7_16_6_15_11_2_12_14_10_9_5_4_1_8_3";"12056";"2";"32"
"10_3_15_9_16_4_5_8_13_14_7_11_6_2_12_1";"12292";"2";"32"
"5_15_13_2_8_7_1_3_9_10_6_16_11_14_4_12";"12455";"2";"32"
"6_8_16_4_7_5_13_3_1_14_11_10_12_2_15_9";"12068";"2";"32"
"1_11_12_4_8_3_2_14_13_6_16_10_5_7_9_15";"11777";"2";"32"
"4_8_12_15_5_16_2_9_10_13_7_11_6_3_1_14";"11644";"1";"32"
"6_1_2_14_13_7_11_16_9_8_3_15_12_5_4_10";"12411";"2";"32"
"10_5_6_3_7_16_15_14_2_4_11_1_12_13_9_8";"12789";"2";"32"
"11_2_12_13_5_10_7_1_3_9_8_15_16_4_6_14";"11914";"1";"32"
"10_1_8_2_11_4_15_7_14_16_12_13_6_9_5_3";"12057";"2";"32"
"13_5_9_3_4_8_7_1_15_11_6_16_12_10_2_14";"12229";"2";"32"
"13_11_4_9_7_14_15_2_1_10_8_5_12_3_16_6";"12137";"2";"32"
"6_3_2_13_1_15_5_12_7_9_4_14_10_16_11_8";"12125";"2";"32"
"2_15_10_14_8_13_4_7_6_12_1_16_11_9_3_5";"12609";"2";"32"
"15_2_12_8_1_16_9_14_6_7_4_10_11_13_5_3";"12024";"2";"32"
"3_10_6_16_1_14_13_4_15_2_7_8_9_5_12_11";"11981";"1";"32"
"11_8_10_16_6_13_1_2_5_3_7_9_14_4_12_15";"11727";"1";"32"
