"permutations";"#UUIDs";"#classes";"#clone_configs"
"10_6_13_1_5_4_2_12_15_7_14_16";"12441";"2";"24"
"5_8_11_4_1_14_2_12_16";"12083";"2";"18"
"9_11_1_3_6_2_4_14_10_7_5_8";"11804";"2";"24"
"8_10_13_12_5_4_15_16_6_3_14_1_2_11";"12798";"2";"28"
"3_9_10_14_16_15_5_4_1_13_12_6";"11630";"1";"24"
"15_3_7_6_13_1_4";"11664";"2";"14"
"9_16_8_15_4_6_11_5_3_1_12_10_13_2_14";"12099";"2";"30"
"1_9_4_12_16_7_2_15_11_6_13_3_5";"12351";"2";"26"
"2_14_5_3_1_9_16_11_12_7_8_15_4";"12403";"2";"26"
"8_15_16_6_1_14_4";"11540";"2";"14"
"1_5";"8880";"0";"0"
"12_14_1_10";"11530";"0";"0"
"3_7_15_1_9_12_5_4_6_14_2_10";"11641";"1";"24"
"5_6_7_13_8_10_15_14_11_2_9_1";"12060";"2";"24"
"6_5_9_1_16_12";"11713";"0";"0"
"14_1_9_5_3_10_15";"12271";"2";"14"
"15_2_14_1_7_9_4_6_13_12";"12252";"2";"20"
"14_9_1_3_16_6";"12003";"2";"12"
"14_13_10_7_8_1_16_11_5_2_3_4";"12172";"2";"24"
"7_16_4_1_12_14_6_15";"12017";"2";"16"
"1_2_12_11_13_3_5_8_4_15_16";"12187";"2";"22"
"11_8_16_15_4_1_2_9";"11651";"1";"16"
"15_8_4_2_10_14_3_12_1_9";"12252";"2";"20"
"1_9";"7118";"0";"0"
"10_12_8_1";"11715";"0";"0"
"2_9_12_4_14_11_6_16_1_3_15_5_13_7_10";"12279";"2";"30"
"11_14_13_8_12_9_7_16_5_6_1_15_3";"11642";"1";"26"
"2_14_6_5_1_15_9_13_12_3_16_7_11_4_8";"12567";"2";"30"
"11_16_12_1_15_2_7_4_14_6";"11627";"1";"20"
"11_15_8_3_1_5_14_6_4_2";"11630";"1";"20"
"12_1_8_11_15_14_4_16_3_10_9_2_5_13_6";"12466";"2";"30"
"1_6_5_4_13_7_12_15_11_2";"12082";"2";"20"
"8_10_11_1_5_6_3_13_2_16_14_7_12_9";"12777";"2";"28"
"1_11_12_4_9_7_15_5_16_6";"11762";"2";"20"
"10_3_7_9_4_8_16_6_1_2_15_14";"12247";"2";"24"
"10_14_7_5_1_12_11_2_13_3";"12164";"2";"20"
"1";"6050";"0";"0"
"9_4_1_16_14_12_2";"12267";"2";"14"
"9_1_2_3_6_7";"11760";"2";"12"
"12_7_14_1_4_10";"11676";"2";"12"
"13_1";"9279";"0";"0"
"14_2_13_4_1";"11869";"2";"10"
"9_10_4_14_1_11_3_6_8";"11974";"2";"18"
"6_1_7_16_15_5_12_9_10_13_2_11_8_3_14";"12333";"2";"30"
"4_5_1";"11053";"1";"6"
"16_1_10";"9727";"0";"0"
"14_11_3_15_2_12_4_7_13_1_8_5_9_6_16";"12246";"2";"30"
"6_1_8_4_15_10_2_3_16_7_12";"12117";"2";"22"
"14_10_1_9_12_7_5_11_6_4_13_2_16";"12212";"2";"26"
"4_11_9_7_16_10_1_13_3_5_14_8";"11883";"1";"24"
"3_1_13_5_7_16_9_8";"11493";"1";"16"
"2_4_12_8_5_14_9_6_1_15_7_16_10_13";"12367";"2";"28"
"14_4_6_1_9";"11964";"2";"10"
"1_9_12_14_10_13";"11790";"0";"0"
"4_5_16_10_1";"11568";"1";"10"
"3_16_15_10_13_2_5_1_12_7_9_4_8_14_11";"11661";"1";"30"
"5_7_12_6_9_11_14_1";"11988";"2";"16"
"1_3_9_2";"10700";"2";"8"
"16_9_7_2_8_14_4_10_13_3_1_5_11_15_12";"12289";"2";"30"
"11_12_10_7_9_13_1_2_3_6_16_8_4_14";"11847";"1";"28"
