"permutations";"#UUIDs";"#classes";"#clone_configs"
"9_7_2_10_8_3_11_5_12_15_6_1_13_14_16_4";"23779";"4";"172"
"9_8_7_4_3_6_16_13_14_15_11_10_2_1_12_5";"23627";"4";"172"
"3_7_2_1_6_14_4_11_8_13_9_5_16_10_15_12";"23981";"4";"172"
"12_16_3_11_7_13_5_10_4_6_2_15_9_8_14_1";"23903";"4";"172"
"2_7_3_11_4_1_6_5_12_14_10_8_9_13_16_15";"23137";"4";"172"
"1_6_8_14_3_2_9_7_5_13_10_11_4_16_12_15";"23986";"4";"172"
"9_11_12_8_13_3_1_2_10_16_6_14_7_5_15_4";"23793";"4";"172"
"13_3_7_12_9_15_4_6_2_11_1_10_8_16_5_14";"23622";"4";"172"
"2_7_11_6_3_1_9_15_8_5_4_16_10_13_12_14";"24076";"4";"172"
"5_12_16_13_2_4_1_15_6_11_14_7_9_10_3_8";"23707";"4";"172"
"14_12_2_8_15_6_10_3_4_5_16_7_13_11_1_9";"24433";"4";"172"
"5_1_9_13_15_4_11_7_6_2_10_14_16_8_3_12";"23915";"4";"172"
"13_2_1_15_3_14_7_11_10_8_5_6_9_4_16_12";"23411";"4";"172"
"11_13_3_7_6_2_5_1_8_9_16_10_15_12_4_14";"24070";"4";"172"
"14_4_12_5_8_13_16_15_9_6_11_3_7_2_1_10";"24169";"4";"172"
"6_1_10_15_8_5_11_7_4_14_3_13_12_16_9_2";"23126";"4";"172"
"6_15_5_3_7_14_1_12_11_8_13_2_10_4_16_9";"23361";"4";"172"
"4_5_13_7_8_9_3_12_16_10_14_15_11_6_2_1";"24014";"4";"172"
"3_8_5_12_16_15_9_13_7_6_1_4_2_11_10_14";"23906";"4";"172"
"10_4_16_7_1_12_15_3_14_9_13_11_2_6_5_8";"23237";"4";"172"
"15_9_14_5_13_16_11_6_10_8_12_2_4_3_1_7";"23800";"4";"172"
"13_15_9_12_6_1_14_3_11_16_2_8_10_4_7_5";"23597";"4";"172"
