"permutations";"#UUIDs";"#classes";"#clone_configs"
"15_10_6_7_4_5_12_8_13_16_3_14_2_1_9";"24002";"4";"163"
"5_8_1_9";"22066";"4";"50"
"14_1_8_9_16_3_7_5_6_15";"22959";"4";"111"
"10_6_2_7_3_5_14_13_11_15_16_8_4_12_1";"23911";"4";"163"
"1";"18640";"4";"14"
"4_1_16_10";"22261";"4";"44"
"16_12_3_5_1_4_7_11_6";"22885";"4";"99"
"14_13_2_4_1_11_16_5_3_8_9_10_7";"23817";"4";"145"
"1_13";"21620";"4";"21"
"15_8_3_11_1";"23384";"4";"58"
"1_13_14_6_2_11_15_12_8_3_5_10_7_9_16";"23908";"4";"163"
"1_13";"21484";"4";"21"
"1";"18779";"4";"14"
"5_7_8_3_1_15_6_2_9_4_10";"23880";"4";"123"
"3_5_12_2_8_1_4";"22958";"4";"86"
"3_1_10_7";"22800";"4";"55"
"11_8_5_2_1_16_6_12_7_4";"23461";"4";"108"
"1";"18663";"4";"14"
"5_16_10_7_1_13_2";"22714";"4";"77"
"1_13_8";"22315";"4";"35"
"2_16_1_15_11_10";"22356";"4";"60"
"1_11_6_10_12_7";"23461";"4";"70"
"5_9_13_3_4_1_10_14";"23209";"4";"93"
"9_8_3_4_13_11_16_15_6_7_2_14_1_12";"23025";"4";"145"
"1_12";"21082";"4";"27"
"10_1_15_13_9_6_4";"22981";"4";"67"
"1_10_11_2";"22324";"4";"46"
"9_10_5_4_7_14_6_3_12_2_13_1_11_16";"24101";"4";"151"
"16_4_11_14_7_6_2_3_5_9_1_10";"23821";"4";"131"
"14_8_9_3_16_1_12_15_4_2_13";"23048";"4";"116"
"9_14_1_4_7";"22002";"4";"58"
"3_6_1_12_2_5";"22977";"4";"70"
"9_1_11_7";"21781";"4";"45"
"2_3_13_9_8_4_10_7_5_15_6_1_14_12";"23170";"4";"156"
"14_15_12_10_13_7_11_6_1_16_2";"23867";"4";"113"
"16_1_2_9";"20912";"4";"39"
"14_1";"20670";"4";"27"
"4_14_3_16_15_12_1";"23661";"4";"77"
"12_1_5_15_16_4_2_6";"23026";"4";"79"
