"permutations";"#UUIDs";"#classes";"#clone_configs"
"4_11_7_6_9_13_2_12_1_5_14_10_16_3_8_15";"11282";"5";"114"
"9_3_11_16_14_7_13_1_15_10_12_4_5_6_8_2";"11495";"6";"114"
"13_3_5_16_11_2_14_15_6_10_7_9_12_8_4_1";"11268";"5";"114"
"4_2_12_7_1_16_15_3_8_6_11_9_14_10_13_5";"11382";"5";"114"
"5_16_10_7_1_14_11_13_8_4_6_12_15_9_3_2";"11251";"5";"114"
"5_9_13_1_14_6_15_12_7_2_8_16_11_3_4_10";"11269";"5";"114"
"6_8_13_10_11_9_12_7_5_16_2_3_4_15_1_14";"11337";"5";"114"
"1_8_12_15_7_3_14_9_2_5_4_11_10_6_13_16";"11178";"5";"114"
"15_14_7_12_1_13_8_10_16_11_6_2_4_5_9_3";"11203";"5";"114"
"5_15_14_8_2_13_10_1_4_7_3_9_12_6_11_16";"11223";"5";"114"
"9_5_13_1_15_6_8_2_3_10_12_4_11_14_16_7";"11278";"5";"114"
"10_7_8_12_2_16_14_1_13_6_3_9_4_5_11_15";"11320";"5";"114"
"6_11_14_12_8_1_4_3_7_16_2_15_10_13_5_9";"11183";"5";"114"
"8_15_4_16_1_12_11_13_14_3_6_7_5_9_2_10";"11200";"5";"114"
"3_12_8_4_13_7_11_1_16_6_5_2_9_14_15_10";"11199";"5";"114"
"14_1_12_6_15_2_10_8_16_9_13_5_11_7_3_4";"11168";"5";"114"
"11_9_16_5_13_8_1_2_7_6_14_4_12_10_3_15";"11403";"5";"114"
"10_2_16_9_6_15_14_1_13_7_4_12_11_8_5_3";"11215";"5";"114"
"6_2_13_1_14_12_5_8_15_3_16_10_7_11_4_9";"11296";"5";"114"
"5_4_9_7_3_1_11_8_15_14_13_12_6_16_2_10";"11299";"5";"114"
"14_10_2_7_15_5_13_8_11_3_9_16_4_1_12_6";"11334";"5";"114"
"5_2_10_13_4_16_7_14_15_8_6_9_3_12_11_1";"11398";"5";"114"
"9_12_7_4_8_1_11_13_10_16_15_3_6_2_14_5";"11415";"5";"114"
"7_15_11_1_6_2_8_10_13_9_3_16_12_4_14_5";"11212";"5";"114"
"5_11_6_4_13_10_15_7_9_3_2_1_12_8_14_16";"11361";"5";"114"
"13_14_9_3_2_11_15_5_1_16_8_10_6_12_7_4";"11305";"5";"114"
"11_4_13_2_5_1_8_6_15_10_14_12_7_3_16_9";"11300";"5";"114"
"9_15_14_10_8_2_11_12_6_4_3_5_7_1_16_13";"11228";"5";"114"
"6_3_13_9_1_15_2_12_4_5_16_14_11_10_8_7";"11217";"5";"114"
"11_9_3_15_5_2_6_1_7_16_13_14_12_10_4_8";"11417";"5";"114"
"9_8_4_6_7_10_3_11_13_5_12_14_1_15_2_16";"11340";"6";"114"
"13_7_2_3_4_6_15_8_14_1_5_12_16_11_9_10";"11292";"5";"114"
"8_7_9_16_6_4_3_13_15_10_11_14_12_5_1_2";"11287";"5";"114"
"12_7_15_2_5_8_10_13_3_16_11_6_4_14_9_1";"11242";"5";"114"
"2_1_7_10_8_9_11_16_15_4_13_6_3_5_12_14";"11287";"5";"114"
"5_12_8_2_7_10_9_11_16_14_1_13_6_15_4_3";"11243";"5";"114"
"12_9_1_11_3_10_15_4_7_16_6_5_13_2_14_8";"11374";"5";"114"
"5_12_9_3_6_7_13_2_15_4_8_16_1_11_14_10";"11225";"5";"114"
"5_11_3_9_14_6_4_8_16_12_2_10_7_1_13_15";"11280";"5";"114"
"5_1_7_4_16_11_12_2_13_15_3_14_6_8_9_10";"11181";"5";"114"
"10_5_11_1_9_6_7_13_16_4_3_15_12_2_8_14";"11405";"5";"114"
"12_16_2_15_3_9_7_4_13_5_14_1_11_6_10_8";"11241";"5";"114"
"6_5_7_16_15_3_2_10_8_12_4_14_13_11_9_1";"11247";"5";"114"
"12_8_1_9_15_10_13_5_2_4_3_6_11_14_16_7";"11189";"5";"114"
"9_2_6_8_12_13_11_14_7_3_15_1_5_10_16_4";"11375";"6";"114"
"7_6_13_10_9_12_3_5_2_15_8_16_11_14_4_1";"11334";"5";"114"
"13_9_2_15_7_16_1_6_5_3_8_11_12_14_10_4";"11275";"5";"114"
"12_1_4_9_16_13_7_6_5_3_15_8_14_10_11_2";"11371";"5";"114"
"8_13_2_16_15_1_10_9_11_14_7_3_6_5_12_4";"11270";"5";"114"
"7_11_4_12_1_8_6_15_9_14_5_13_10_2_16_3";"11252";"5";"114"
"6_5_15_11_14_2_7_8_16_4_3_1_10_13_12_9";"11239";"5";"114"
"6_13_5_11_1_12_7_3_16_8_2_9_4_14_15_10";"11183";"5";"114"
"2_1_7_14_8_12_11_9_16_15_4_3_10_6_5_13";"11219";"5";"114"
"14_16_3_15_4_10_8_6_7_12_2_1_9_11_5_13";"11282";"5";"114"
"13_7_2_9_3_4_10_16_5_12_11_6_1_15_14_8";"11333";"5";"114"
"10_2_4_8_5_15_14_7_1_6_12_3_11_16_13_9";"11510";"6";"114"
"9_11_4_15_1_14_12_3_5_13_10_7_16_6_8_2";"11451";"5";"114"
"1_6_9_13_11_4_3_10_2_14_7_8_5_12_16_15";"11300";"6";"114"
"3_10_9_2_11_7_6_14_16_13_8_4_1_15_12_5";"11633";"6";"114"
"16_15_10_2_14_12_7_4_8_1_3_11_6_9_13_5";"11217";"5";"114"
"7_15_14_16_10_4_1_3_5_11_12_2_6_8_13_9";"11254";"5";"114"
"8_13_5_7_6_11_9_16_12_14_10_1_2_4_15_3";"11283";"5";"114"
"2_14_13_16_15_9_8_7_4_11_5_6_1_10_12_3";"11328";"5";"114"
"8_9_7_12_4_6_10_5_2_14_3_1_15_11_16_13";"11309";"6";"114"
"6_8_5_4_9_3_15_10_12_13_2_14_11_7_16_1";"11295";"5";"114"
"16_4_7_1_11_6_2_15_10_9_5_8_3_12_14_13";"11218";"5";"114"
"16_3_5_7_15_9_4_2_11_14_1_10_12_13_8_6";"11259";"5";"114"
"2_6_13_16_14_7_3_4_1_9_5_10_15_12_8_11";"11313";"5";"114"
"14_5_10_2_7_8_1_3_4_11_15_16_9_6_12_13";"11351";"5";"114"
"5_1_8_11_13_4_10_15_9_12_16_6_14_3_7_2";"11263";"5";"114"
"5_9_15_7_6_14_13_8_12_16_1_3_10_11_2_4";"11271";"5";"114"
"2_12_6_14_13_11_1_7_4_3_9_10_5_15_8_16";"11413";"5";"114"
"11_5_12_16_6_14_4_2_3_13_10_1_7_15_8_9";"11230";"5";"114"
"15_2_10_1_16_9_5_3_4_13_11_8_14_12_7_6";"11191";"5";"114"
"13_6_10_15_5_11_14_2_16_8_7_3_1_9_4_12";"11322";"5";"114"
"3_4_10_12_11_8_1_5_7_15_13_6_16_9_14_2";"11532";"6";"114"
