"permutations";"#UUIDs";"#classes";"#clone_configs"
"11_1_16_4_9";"11252";"5";"37"
"5_8_9_10_7_6_12_16_3_11_13_4_15_1";"11296";"5";"103"
"1_3_8_12";"11249";"5";"31"
"4_2_1_6_12_7_8_5_16";"11365";"5";"62"
"1_11_12_2_3";"10711";"5";"40"
"1_2_15_13_12_5_4_8_6_3";"11162";"5";"72"
"3_1";"9243";"4";"13"
"11_2_1_7_13_10_8_16";"11496";"5";"51"
"1_9_12_8_2_10_16_6_5_15";"11352";"5";"62"
"8_13_1_12_6_5_2_16_9_14_4";"11227";"5";"74"
"5_13_2_15_1_7_14";"9931";"3";"38"
"10_4_7_12_11_16_5_15_3_1";"11540";"6";"79"
"9_15_6_5_3_1_16_4_8_2_7";"11163";"5";"73"
"10_11_2_5_6_9_12_1_15_8_16_14";"11483";"5";"80"
"14_9_1_12_3_8";"11063";"5";"43"
"10_13_9_14_6_2_7_11_12_4_1_15_8_16_5";"11328";"5";"104"
"10_13_1";"9559";"3";"15"
"13_1_12_16_4_7_8_5_3_11";"11153";"5";"80"
"12_7_2_6_15_5_1_14_3";"11213";"5";"63"
"2_3_1_4_6_16_8_5_13_15_11";"11460";"5";"79"
"12_3_7_5_15_1_16";"11172";"5";"53"
"1_16_6_10";"9712";"3";"20"
"1";"6020";"2";"4"
"2_15_4_13_16_1";"11146";"5";"39"
"3_1_8_5_4_9_2";"11172";"5";"46"
"1_10_3_2_15_9_7_5_6_12_11";"11512";"6";"77"
"8_1";"8667";"2";"8"
"1_3_2_16_4_10";"11305";"5";"40"
"3_1_8_15_13_12";"11334";"5";"45"
"4_5_2_6_1_15_8_7_10_11_13_14";"11211";"5";"81"
"12_1";"10667";"5";"15"
"3_10_9_1_4_13";"11387";"6";"41"
"9_16_11_10_4_12_13_1_6_5_2_15_7_14_8";"11212";"5";"104"
"4_9_13_3_1_7_10_14_15_2";"11479";"6";"66"
"1";"6020";"2";"4"
"1_7_3";"10637";"5";"21"
"1_5_11_14_16_4";"11145";"5";"46"
"4_2_1_14_7";"11231";"5";"32"
"12_1";"10667";"5";"15"
"9_15_16_4_13_12_14_8_11_7_1_6_10";"11217";"5";"93"
"9_7_8_10_1";"9740";"3";"25"
"1_15";"9648";"3";"10"
"5_7_9_3_13_1_16_11_2_8_4_15_12";"11399";"5";"96"
"7_1_14_15";"9857";"3";"22"
"1_15_2";"9653";"3";"14"
"1_8_4_10_3_7_11_13_15_6_9_14_2_12";"11299";"6";"100"
"2_5_16_15_13_1_4_3_7";"11233";"5";"63"
"12_9_11_3_10_6_1_15_8";"11370";"5";"65"
"5_8_11_2_1_15";"11233";"5";"39"
"14_9_1_13";"9348";"3";"21"
"11_12_4_1_16_9_15_13";"11346";"5";"62"
"11_1_5_12_7_15";"11268";"5";"47"
"3_10_2_12_16_5_1_9_8_15_11";"11575";"6";"77"
"4_16_8_1_2_3_6_12_7_10_14";"11200";"5";"77"
"3_16_14_1_11_15_4_12_5_6_10_13_8";"11207";"5";"98"
"13_1_9_4";"10943";"5";"26"
"5_7_10_1_4_6_3_15_11_13_8_12_14_2";"11321";"5";"102"
"14_11_1_5_3_8_10_12_13_2";"11249";"5";"72"
"1_13_6";"9351";"3";"15"
"12_1_11_5_2_13_16_3_10_9_14_4";"11371";"5";"88"
"1_11_14";"10800";"5";"22"
"11_3_6_4_14_5_1_16_13_8_7_2_9_10";"11221";"5";"96"
"1_10_4_16_8_12_9_11";"11375";"6";"59"
"14_1_13_16_10_9_7_3";"11124";"5";"52"
"3_11_5_15_6_13_10_12_2_1_9_4_14_8_16";"11263";"5";"107"
"10_1_12_9_3_4_6";"11255";"5";"51"
"14_3_12_10_13_1_8_7_4_15_16_2_6_5";"11256";"5";"98"
"3_1_5_15_7_2_6_11";"11346";"5";"56"
"1_11_14_9";"10802";"5";"27"
"7_15_14_11_12_16_4_1_5_3_8_13_9";"11204";"5";"99"
"12_1_7_2_9_8";"11304";"5";"37"
"7_13_1_11_4_14_10_3_16_8_2_5_12_15_9";"11277";"5";"108"
"1_3_11_10_13_4_7";"11284";"5";"54"
"13_8_1_9";"9716";"3";"20"
"1";"6020";"2";"4"
"1";"6020";"2";"4"
"1_6_13_9";"9353";"3";"20"
"5_8_7_11_3_6_16_14_15_12_10_1_2_4";"11304";"5";"102"
"8_7_1_5_9_3_12_10_6_2";"11330";"5";"65"
"12_14_4_10_3_1_9";"11155";"5";"52"
"13_4_3_2_16_8_1_9_11_6_12_5_14_10_15";"11321";"5";"107"
"1_3_13_11";"10831";"5";"32"
"4_9_10_1";"10646";"4";"21"
"1_16_4_2_5_11_8_7";"11155";"5";"56"
"8_13_6_4_3_7_16_12_5_10_2_9_15_14_1";"11348";"5";"103"
"16_4_1_13_15_2_12_7_11_8_3_6_5_14";"11207";"5";"104"
"14_6_1_13_2_12_15_9_3_7_4_11_8_5_10";"11244";"5";"107"
"7_3_2_1_8";"10749";"5";"31"
"11_6_7_5_16_13_8_10_1";"11263";"5";"60"
"4_7_1_8_2_15";"11116";"5";"38"
"12_7_11_16_3_1_8_2_4_13_15_9_6_10_5";"11209";"5";"107"
"1_16";"9675";"3";"10"
"4_2_3_15_7_1";"11291";"5";"42"
"2_1_14_13";"9596";"3";"20"
"10_9_1";"7563";"2";"12"
"1";"6020";"2";"4"
"3_2_9_15_13_10_11_5_1_7";"11500";"6";"67"
"14_9_5_2_11_6_4_1_15_3";"11289";"5";"71"
"12_11_13_7_8_3_1_9_15";"11195";"5";"68"
"15_6_4_3_5_11_14_16_12_7_9_1_2_13";"11217";"5";"103"
"7_4_1_13_15_10_2";"11130";"5";"44"
"7_15_13_5_14_3_12_4_8_9_2_11_1_10_16";"11240";"5";"108"
"14_11_1_3_8_10_15";"11219";"5";"50"
"2_5_12_1_6_7_4_15_13_3";"11267";"5";"73"
"11_15_10_1_16_2_6";"11168";"5";"44"
"15_13_16_5_1";"9812";"3";"28"
"6_11_4_9_16_1_2_7_10_12_14";"11251";"5";"77"
"8_7_13_3_14_2_5_10_15_4_1_16_11_12";"11335";"5";"103"
"8_10_3_2_1_13_4";"11207";"6";"46"
"2_9_12_1_14_16_8_10_7";"11409";"5";"56"
"1_10_7_12_16";"11198";"5";"34"
"9_7_6_1_10_15_11_5";"11269";"5";"52"
"1_8_4_6_12_14_2";"11078";"5";"48"
"10_12_6_3_16_1_4_14";"11341";"5";"60"
"2_13_3_4_5_1_8";"11130";"5";"48"
"1_15_14_11";"11105";"5";"29"
"5_1_13_14_6";"9374";"3";"27"
"2_1_9_6_12_15_3_8_7";"11329";"6";"60"
"1_3_12_15_9_2_11_7_13_16";"11355";"5";"73"
"11_16_4_5_13_12_1_14_7_8";"11213";"5";"77"
"1_3";"9243";"4";"13"
"6_11_1_2_10_12_16_15_3_8_13_5";"11268";"5";"85"
"13_11_15_6_3_9_14_5_2_4_1";"11212";"5";"78"
"1";"6020";"2";"4"
"9_10_3_11_14_12_8_1_16_7_15_13_6_4";"11543";"6";"103"
"2_12_1_7_15_3";"11293";"5";"43"
"3_1_6_4_5_13_7_8_14_11_16_2_12_9";"11547";"5";"102"
"5_12_1_14_9_4_13_15_6_2_3_11_10_8_7";"11184";"5";"107"
"1_3_7_14_4_13_16_5_2";"11378";"5";"63"
"1_4_11_14_13_10_15_3_16";"11414";"5";"68"
"14_13_10_1_9_7_8_4_2_15";"11267";"5";"62"
"5_6_10_14_11_15_1_12_4_2_13_9_8_3_16";"11377";"5";"107"
"2_4_12_1_15_14_8_11_7";"11363";"5";"67"
"6_2_13_15_3_9_12_10_7_16_4_1_8_5";"11318";"5";"96"
"14_7_2_9_13_1_11_8_12_6_10_16";"11244";"5";"80"
"1_5";"8834";"3";"10"
"1";"6020";"2";"4"
"1_3_7_9_14_5_6";"11252";"5";"46"
"1_13";"9232";"3";"10"
"5_12_9_14_13_16_1_15";"11177";"5";"55"
