"";"Clone:b3472dc9-e2f4-44f3-8a7b-30673e2f38f8";"Clone:b433ca90-d2bf-4a48-9c0b-2a2886a22c0d";"Clone:8a07cc63-c6f3-478e-912a-6a3e5c944684"
"ApoMario.tree";"2";"2";"2"
"ApoSnake.tree";"";"";""
"ApoNotSoSimple.tree";"";"1";""
"ApoStarz.tree";"";"2";"2"
"ApoImp.tree";"";"";""
"ApoBot.tree";"";"2";"2"
"ApoSoccer.tree";"";"2";"2"
"ApoPongBeat.tree";"2";"1";""
"ApoRelax.tree";"";"";""
"ApoSimpleSudoku.tree";"";"1";""
"ApoIcarus.tree";"2";"1";""
"ApoIcejump.tree";"";"2";"2"
"ApoSlitherLink.tree";"";"2";"2"
"ApoCommando.tree";"2";"1";""
"ApoMarc.tree";"1";"1";""
