"";"Clone:6f92b90c-caf4-4cf7-937a-7e3fb4fd7b77";"Clone:689ba278-0f6f-4ec8-8eac-a257d733b406";"Clone:d1e59e68-88cd-41b3-b77e-2042c16815dd";"Clone:0e5a995c-cad8-4b0f-aad4-09fa097ebb6b";"Clone:008b13f8-e9df-43e9-a831-ebd00442f579"
"00001.tree";"";"2";"";"";"2"
"00002.tree";"";"2";"";"";"2"
"00003.tree";"1";"2";"3";"2";"2"
"00004.tree";"1";"2";"3";"2";"2"
"00005.tree";"2";"2";"1";"1";"2"
"00006.tree";"1";"2";"1";"1";"2"
"00007.tree";"2";"2";"1";"1";"2"
"00008.tree";"1";"2";"1";"1";"2"
"00009.tree";"1";"2";"";"";"2"
"00010.tree";"1";"2";"";"";"2"
"00011.tree";"2";"2";"3";"2";"2"
"00012.tree";"2";"2";"3";"2";"2"
"00013.tree";"2";"2";"1";"1";"2"
"00014.tree";"2";"2";"1";"1";"2"
"00015.tree";"2";"2";"1";"1";"2"
"00016.tree";"2";"2";"1";"1";"2"
